Company,Job Title,Category,Apply Link,Contact Email,Last Visited,Notes
Affirm,Software Engineer,Company Career Page,https://affirm.com/careers,careers@affirm.com,2026-04-30,Great benefits package
AssetMark,Data Analyst,Job Portal,https://assetmark.com/careers,hr@assetmark.com,2026-04-28,Remote friendly
Proofpoint,Tech Lead,Company Career Page,https://proofpoint.com/careers,careers@proofpoint.com,2026-04-25,Security focused
John Deere,Software Engineer,Job Portal,https://johndeere.com/careers,careers@deere.com,2026-04-23,Hybrid work
ByteDance,Backend Engineer,Company Career Page,https://bytedance.com/en/careers,careers@bytedance.com,2026-04-19,Competitive pay
National Security Agency,Cybersecurity Analyst,Government Portal,https://nsa.gov/careers,careers@nsa.gov,2026-04-16,Security clearance required
Goldman Sachs,Software Engineer - Backend,Company Career Page,https://goldmansachs.com/careers,careers@gs.com,2026-04-14,Investment banking
Meta,Senior Full Stack Engineer,Company Career Page,https://meta.com/careers,careers@meta.com,2026-04-12,High-scale systems
Google,Cloud Solutions Architect,Job Portal,https://careers.google.com,careers@google.com,2026-04-10,GCP team
Amazon,Software Development Engineer II,Company Career Page,https://amazon.jobs,careers@amazon.com,2026-04-08,AWS team
